Prices (USD/bbl),Date (CDT),Time (CDT)
4.061,2021-07-30,00:33:55
4.054,2021-07-30,00:41:01
4.056,2021-07-30,00:44:01
4.056,2021-07-30,00:49:46
4.059,2021-07-30,00:53:56
4.058,2021-07-30,00:59:01
4.06,2021-07-30,01:03:55
4.069,2021-07-30,01:09:58
4.067,2021-07-30,01:13:57
4.068,2021-07-30,01:18:53
4.058,2021-07-30,01:23:56
4.059,2021-07-30,01:29:01
4.059,2021-07-30,01:34:59
4.057,2021-07-30,01:39:01
4.056,2021-07-30,01:43:56
4.051,2021-07-30,01:48:55
4.053,2021-07-30,01:54:01
4.051,2021-07-30,02:00:01
4.049,2021-07-30,02:04:01
4.041,2021-07-30,02:09:01
4.032,2021-07-30,02:14:01
4.036,2021-07-30,02:18:59
4.037,2021-07-30,02:25:00
4.039,2021-07-30,02:30:00
4.038,2021-07-30,02:34:45
4.041,2021-07-30,02:38:54
4.044,2021-07-30,02:43:59
4.046,2021-07-30,02:49:58
4.046,2021-07-30,02:54:00
4.048,2021-07-30,02:58:59
4.052,2021-07-30,03:03:57
4.055,2021-07-30,03:09:01
4.054,2021-07-30,03:13:53
4.049,2021-07-30,03:18:52
4.047,2021-07-30,03:23:54
4.045,2021-07-30,03:28:53
4.05,2021-07-30,03:33:59
4.051,2021-07-30,03:39:31
4.054,2021-07-30,03:44:59
4.056,2021-07-30,03:49:00
4.058,2021-07-30,03:54:01
4.057,2021-07-30,03:59:59
4.059,2021-07-30,04:04:00
4.053,2021-07-30,05:00:01
4.051,2021-07-30,05:04:01
4.047,2021-07-30,05:09:08
4.045,2021-07-30,05:14:45
4.045,2021-07-30,05:18:56
4.044,2021-07-30,05:24:01
4.033,2021-07-30,05:28:57
4.037,2021-07-30,05:33:59
4.021,2021-07-30,05:39:00
4.017,2021-07-30,05:43:52
4.019,2021-07-30,05:50:01
4.014,2021-07-30,05:53:50
4.016,2021-07-30,05:59:45
4.018,2021-07-30,06:04:42
4.018,2021-07-30,06:10:41
4.019,2021-07-30,06:13:55
4.019,2021-07-30,06:19:32
4.02,2021-07-30,06:23:53
4.031,2021-07-30,06:30:00
4.03,2021-07-30,06:34:00
4.03,2021-07-30,06:39:00
4.03,2021-07-30,06:44:01
4.025,2021-07-30,06:49:00
4.022,2021-07-30,06:54:01
4.025,2021-07-30,07:00:00
4.021,2021-07-30,07:04:01
4.017,2021-07-30,07:08:52
4.015,2021-07-30,07:13:54
4.01,2021-07-30,07:20:01
4.012,2021-07-30,07:25:58
4.012,2021-07-30,07:28:53
4.01,2021-07-30,07:33:55
4.011,2021-07-30,07:39:10
4.009,2021-07-30,07:44:47
4.008,2021-07-30,07:49:36
4.007,2021-07-30,07:54:01
4.011,2021-07-30,07:59:53
4.01,2021-07-30,08:04:41
4.012,2021-07-30,08:10:04
4.011,2021-07-30,08:13:52
4.01,2021-07-30,08:19:55
4.01,2021-07-30,08:24:49
4.011,2021-07-30,08:29:11
4.012,2021-07-30,08:34:19
4.014,2021-07-30,08:38:50
4.015,2021-07-30,08:44:59
4.01,2021-07-30,08:48:58
4.01,2021-07-30,08:53:59
4.005,2021-07-30,09:00:00
4.006,2021-07-30,09:03:51
4.006,2021-07-30,09:09:05
4.006,2021-07-30,09:14:58
4.007,2021-07-30,09:19:01
4,2021-07-30,09:24:00
3.997,2021-07-30,09:28:57
4.001,2021-07-30,09:33:52
3.99,2021-07-30,09:39:00
3.982,2021-07-30,09:44:01
3.976,2021-07-30,09:49:55
3.978,2021-07-30,09:54:00
3.978,2021-07-30,09:59:00
3.979,2021-07-30,10:04:42
3.98,2021-07-30,10:08:52
3.986,2021-07-30,10:13:58
3.984,2021-07-30,10:19:01
3.985,2021-07-30,10:24:13
3.989,2021-07-30,10:29:00
3.99,2021-07-30,10:33:52
3.989,2021-07-30,10:39:52
3.989,2021-07-30,10:44:55
3.987,2021-07-30,10:48:55
3.986,2021-07-30,10:53:57
3.982,2021-07-30,11:00:01
3.98,2021-07-30,11:04:00
3.974,2021-07-30,11:10:01
3.975,2021-07-30,11:13:56
3.968,2021-07-30,11:19:58
3.968,2021-07-30,11:24:01
3.971,2021-07-30,11:29:00
3.977,2021-07-30,11:34:00
3.979,2021-07-30,11:39:51
3.98,2021-07-30,11:43:54
3.978,2021-07-30,11:49:33
3.979,2021-07-30,11:53:51
4.016,2021-07-30,12:00:00
3.98,2021-07-30,12:04:43
3.982,2021-07-30,12:09:48
3.979,2021-07-30,12:13:52
3.975,2021-07-30,12:19:41
3.977,2021-07-30,12:24:33
3.977,2021-07-30,12:28:58
3.972,2021-07-30,12:34:05
3.973,2021-07-30,12:38:59
3.972,2021-07-30,12:43:59
