Prices (USD/bbl),Date (CDT),Time (CDT)
72.64,2021-07-29,17:36:00
72.56,2021-07-29,17:40:01
72.59,2021-07-29,17:45:01
72.59,2021-07-29,17:50:01
72.54,2021-07-29,17:56:00
72.58,2021-07-29,18:00:02
72.54,2021-07-29,18:05:01
72.5,2021-07-29,18:10:56
72.62,2021-07-29,18:16:01
72.68,2021-07-29,18:20:01
72.6,2021-07-29,18:25:01
72.67,2021-07-29,18:30:52
72.71,2021-07-29,18:36:00
72.73,2021-07-29,18:40:01
72.84,2021-07-29,18:45:01
72.82,2021-07-29,18:50:56
72.81,2021-07-29,18:55:58
72.84,2021-07-29,19:00:01
72.82,2021-07-29,19:05:01
72.77,2021-07-29,19:10:01
72.71,2021-07-29,19:15:51
72.64,2021-07-29,19:20:01
72.64,2021-07-29,19:26:00
72.63,2021-07-29,19:31:00
72.64,2021-07-29,19:36:02
72.69,2021-07-29,19:41:02
72.76,2021-07-29,19:45:01
72.78,2021-07-29,19:50:01
72.74,2021-07-29,19:55:01
72.68,2021-07-29,20:00:01
73.04,2021-07-29,20:05:01
72.99,2021-07-29,20:11:00
73,2021-07-29,20:16:01
72.86,2021-07-29,20:20:02
72.9,2021-07-29,20:26:01
72.86,2021-07-29,20:30:01
72.73,2021-07-29,20:36:01
72.85,2021-07-29,20:40:01
72.92,2021-07-29,20:45:01
72.87,2021-07-29,20:50:01
72.75,2021-07-29,20:55:01
72.76,2021-07-29,21:01:01
72.75,2021-07-29,21:06:01
72.68,2021-07-29,21:10:01
72.82,2021-07-29,21:15:01
72.91,2021-07-29,21:20:01
72.97,2021-07-29,21:26:00
72.94,2021-07-29,21:30:01
73.03,2021-07-29,21:36:01
73.04,2021-07-29,21:40:01
73.05,2021-07-29,21:45:01
73.04,2021-07-29,21:51:01
73.05,2021-07-29,21:56:00
73.1,2021-07-29,22:00:01
73.06,2021-07-29,22:06:01
73.09,2021-07-29,22:10:01
73.03,2021-07-29,22:16:01
73.11,2021-07-29,22:20:01
73.1,2021-07-29,22:25:01
73.12,2021-07-29,22:30:01
73.14,2021-07-29,22:35:01
73.25,2021-07-29,22:40:58
73.3,2021-07-29,22:46:02
73.34,2021-07-29,22:50:02
73.3,2021-07-29,22:55:59
73.33,2021-07-29,23:01:01
73.29,2021-07-29,23:05:53
73.29,2021-07-29,23:10:01
73.38,2021-07-29,23:15:59
73.37,2021-07-29,23:20:01
73.34,2021-07-29,23:26:01
73.4,2021-07-29,23:30:01
73.43,2021-07-29,23:35:01
73.37,2021-07-29,23:40:01
73.38,2021-07-29,23:45:01
73.34,2021-07-29,23:50:01
73.35,2021-07-29,23:56:00
73.32,2021-07-30,00:00:01
73.29,2021-07-30,00:05:01
73.31,2021-07-30,00:11:01
73.24,2021-07-30,00:16:01
73.21,2021-07-30,00:20:01
73.17,2021-07-30,00:25:59
73.19,2021-07-30,00:31:00
73.15,2021-07-30,00:35:01
73.27,2021-07-30,00:41:00
73.27,2021-07-30,00:45:01
73.29,2021-07-30,00:50:01
73.27,2021-07-30,00:56:01
73.3,2021-07-30,01:00:01
73.33,2021-07-30,01:05:02
73.35,2021-07-30,01:10:01
73.4,2021-07-30,01:15:56
73.38,2021-07-30,01:20:01
73.46,2021-07-30,01:25:01
73.61,2021-07-30,01:30:01
